[2017-09-24T17:59:54+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-24T19:04:03+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:18:16+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:18:40+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:18:58+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:19:03+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:19:20+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:19:33+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:20:13+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:20:17+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:20:37+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:21:00+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:21:48+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:22:23+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:23:08+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:24:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:25:10+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:25:20+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:37:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:37:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:37:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:37:31+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-24T19:37:51+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:43:48+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:46:31+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:48:21+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:13:32+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:13:40+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:13:49+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:14:07+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:49:16+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:49:17+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:50:30+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:50:30+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:51:07+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:51:09+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:52:11+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:52:12+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:52:48+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T20:52:49+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:10:22+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:10:24+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:12:44+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:12:48+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:15:53+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T21:15:53+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:22:50+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:22:54+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:30:44+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:31:18+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:46:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:46:10+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:48:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:48:25+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:49:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:49:18+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:52:22+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:52:23+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:54:40+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:54:41+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:58:29+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-23T23:58:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:00:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:00:32+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:01:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:01:53+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:02:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:02:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:03:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:03:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:04:04+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:04:04+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:04:28+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:04:29+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:06:17+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:06:18+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:12:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:12:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:13:18+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:13:19+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:19:38+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:19:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:19:53+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:19:54+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:21:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:21:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:21:37+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:21:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:24:07+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:24:08+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:25:11+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:25:12+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:26:32+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:26:33+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:26:48+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:26:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:27:14+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:27:16+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:27:33+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:27:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:32+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:55+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:28:56+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:29:04+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:29:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:29:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:29:32+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:30:00+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:30:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:30:29+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:30:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:31:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:31:50+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:32:21+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:32:23+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:32:49+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:32:50+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:33:15+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:33:16+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:33:30+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:33:31+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:34:01+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:34:06+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:36:09+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:36:39+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:53:25+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T00:53:34+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:09:05+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:09:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:20:20+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:20:25+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:25:16+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:25:21+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:25:52+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-01-24T01:25:57+0100] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
